vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
Mười sáu,Mu chứt Tapơât,Mù chứt Tapơât,Yơng sâm 65 (Tapơât chứt la-sỡng) kilô mễt,Dơng xâm ta-pất chứt la-xơng ki-lô-mét.,Xa khoảng 65 kilômét,Bru.txt
Mười tám,Mu chứt Takual,Mù chứt Takual,,,,Bru.txt
Mượn,Mianh,Mi-anh,,,,Bru.txt
Mướp,Nỗng,Nôông,,,,Bru.txt
Mỹ,Míq,míq,,,,Bru.txt
Nạc (thịt),Ál,ál,,,,Bru.txt
Nách áo,Khlap au,khờ lap ao,,,,Bru.txt
Nai,Yỡt,Dơt,,,,Bru.txt
Nải,Taláh,ta láh,,,,Bru.txt
Nam,Samiang,Xa-miang,,,,Bru.txt
Nạn,Ắk pahũan,ắc pa hoan,,,,Bru.txt
Nan,Lampưk,lăm pừc,,,,Bru.txt
Nào,Léq,léq,,,,Bru.txt
Nạo,Kỗr,kỗr,,,,Bru.txt
Náo nhiệt,Uôt a-uôt,uồt a uồt,,,,Bru.txt
Nạp (đạn),Alơap,a lắp,,,,Bru.txt
Năm,Sỡng,Xơng,Yơng sâm 65 (Tapơât chứt la-sỡng) kilô mễt,Dơng xâm ta-pất chứt la-xơng ki-lô-mét.,Xa khoảng 65 kilômét,Bru.txt
Năm,Kumo,cu mo,,,,Bru.txt
Nằm,Padếh,pa đếh,,,,Bru.txt
Nắm (dt),Karpỗt,ca pốt,,,,Bru.txt
Nằm bếp,Bếq tapéh,bể ta péh,,,,Bru.txt
Năm học,Kumo ariên,cu mo a riên,,,,Bru.txt
Nằm im,Tadốk,ta đốc,,,,Bru.txt
Năm kia,Kumo tria,cu mo tria,,,,Bru.txt
Năm mới,kumo tamái,cu mo ta may,,,,Bru.txt
Năm mươi,Sỡng chứt,Sỡng chứt,,,,Bru.txt
Năm nay,Kumo nái,cu mo nay,,,,Bru.txt
Năm ngoái,Kumo hái,cu mo hay,,,,Bru.txt
Năm sau,Kumo kếq,cu mo kể,,,,Bru.txt
Năm sau nữa,Kumo tôh,cu mo tôh,,,,Bru.txt
Nắn,Dách,đách,,,,Bru.txt
Nặn,Mial,mial,,,,Bru.txt
Nắng,Phũak,Phoac,,,,Bru.txt
Nặng,Ntâng,ần tâng,,,,Bru.txt
Nắng đẹp,Phũak o,phoác o,,,,Bru.txt
Năng động,Sarlăng sarnớm,sa roăng sar nâm,,,,Bru.txt
Nặng trĩu,Ntâng lếk,ần tâng lếc,,,,Bru.txt
Nắp,Kartứq,ca tứp,,,,Bru.txt
Nấc (đgt),"Sa-ắq, sang-ắq","sa-ắq, sang-ắq",,,,Bru.txt
Nấm,Triaq,triaq,,,,Bru.txt
Nâng,"Apỗng, apỡng klững","a pôông, a pơng ca lưng",,,,Bru.txt
Nâng dậy,Ayứng,a dừng,,,,Bru.txt
Nấp,Tơoq,tỏq,,,,Bru.txt
Nâu,Pốk,pốc,,,,Bru.txt
Nấu,"Takơoq, riaq","ta cỏ,riaq",,,,Bru.txt
Nấu chín,Takơoq chĩn,Ta-cỏq chỉn,,,,Bru.txt
"Nấu, đun","Takơoq, prúk","Ta-cỏq, prủc",,,,Bru.txt
Ném,Lapống (Tám; Thớm),La-pông (Tăm; Thâm),,,,Bru.txt
Ném,Thớm (Tám),Thâm,,,,Bru.txt
Ném,Lapống,la pôông,,,,Bru.txt
Nét đẹp,Ầko,ắck o,,,,Bru.txt
Nếm,Chim,chìm,,,,Bru.txt
Nêm (dt),Ralo,ra lo,,,,Bru.txt
Nêm (đgt),Klo,klo,,,,Bru.txt
Nền,Tanang,ta nang,,,,Bru.txt
Nến,Tian,tian,,,,Bru.txt
Nện,Katếh,ca tếh,,,,Bru.txt
Nền dưới sàn,Kurũm,cu rum,,,,Bru.txt
Nền sản xuất,Kơâl ranáq,caơl ra nả,,,,Bru.txt
Nền sạp,Prăh,pa rơah,,,,Bru.txt
"Nên, Vì",Yuaq,doa,,,,Bru.txt
Nếp sống,Phong ỡt cha,phong ớt cha,,,,Bru.txt
Nia,Taving,ta vìng,,,,Bru.txt
Ninh,"Ár, trák","ár, trák",,,,Bru.txt
No,Pasâi,pa xây,,,,Bru.txt
Nỏ,Tamĩang,ta miang,,,,Bru.txt
Nó,Án,ằn,,,,Bru.txt
Nóc,Mpuôl,ầm puôl,,,,Bru.txt
Nói,Pai,Pai,,,,Bru.txt
Nói chuyện,Tatỡng,Ta-tơng,,,,Bru.txt
Nói chuyện ồn ào,Tatỡng ralơâm ralứk,Ta-tơng ra-ỉâm ra-ỉực,,,,Bru.txt
Nói dối,Rathũ,ra thu,,,,Bru.txt
Noi gương,Puai mul,Poaỉ mu-l,,,,Bru.txt
Nói láo,Pai satưr (Pai sâng),pai xa-tư-r (Paỉ xâng),,,,Bru.txt
Nói lắp,"Kalơam, phăq",ka lăm,,,,Bru.txt
Nói nhỏ (nhẹ),Tatơng ngkuai,Ta-tơng âng-coaỉ,,,,Bru.txt
Nói tiếng Bru Vân kiều,Pai parnai Brũ Vân kiêu,pai par nai bờ ru vân kiêu,,,,Bru.txt
Nói tiếng nước ngoài,Pai parnai kũai kuruang nuaq,pai par nai coai cù ruang noaq,,,,Bru.txt
Nói to,Tatỡng kasang,Ta-tơng ca-xang,,,,Bru.txt
Nói tục,Pai sarmũaq,Paỉ xar-mọaq,,,,Bru.txt
Nói văn vẻ,Ntỡng,ần tơng,,,,Bru.txt
Non,Nhuam,nhoàm,,,,Bru.txt
Nón,Dũan,đoan,,,,Bru.txt
Nong,Dóng,đông,,,,Bru.txt
Nóng,Kutâu,Cu-tâu,,,,Bru.txt
Nóng ẩm,Kutâu thớm,cu tau thâm,,,,Bru.txt
Nòng nọc,Adăk,a đớc,,,,Bru.txt
Nóng nực,Par-át,Par-ặt,,,,Bru.txt
Nóng nực,Pa-át pa-uôn,pa ặt pa uôn,,,,Bru.txt
Nổ,"Padăh, dăh",pa đơah,,,,Bru.txt
Nô lệ,Sũl,xũl,,,,Bru.txt
Nô nức,Chơ ơn,chơơ ơơn,,,,Bru.txt
Nôi,Ayúng,a dùng,,,,Bru.txt
Nổi,Dỗih,đỗih,,,,Bru.txt
Nối,Tabăng,ta bơang,,,,Bru.txt
Nổi bật,Sững sĩang,xưng xiang,,,,Bru.txt
"Nối liền, liên tiếp, tiếp nối",Pántoi,pằn toi,,,,Bru.txt
Nổi nóng,Nhôp kutâu,nhồp cu tâu,,,,Bru.txt
Nội ngoại,Khỡi kuya,khơi cu da,,,,Bru.txt
Nội quy,Manták ỡt cha,Man-tăc ơt cha,,,,Bru.txt
"Nồi, soong",Adéh,A-đeh,,,,Bru.txt
"Nôn, Mửa",Kuta,cu tau thâm,,,,Bru.txt
Nông,Tadữl,ta đưl,,,,Bru.txt
Nồng,Hớl,hơl,,,,Bru.txt
Nông dân,Kũai ranáq dổng sarái,Coai ra-nảq đông xa-ray,,,,Bru.txt
Nông lịch,Kót ranáq,cót ra nảq,,,,Bru.txt
"Nông, cạn","Tadữl, sarễt",Ta-đưl; xa-ret,,,,Bru.txt
Nốt ruồi,Kréq ruai,ca rẻ roai,,,,Bru.txt
Nợ,Tu,tù,,,,Bru.txt
Nở (đẻ),Pháiq,phảy,,,,Bru.txt
Nở (hoa),Paliang (piar),pa liang,,,,Bru.txt
Nở (trứng),Rôiq (tarễl),rội,,,,Bru.txt
Nở hoa,Dốh piar,Doh pỉar,,,,Bru.txt
Nở ra,Pơăh,pơah,,,,Bru.txt
Nơi,"Bon (Tâng, Ntốq)","Bon (Tâng ,Ần-tẳq)",,,,Bru.txt
Nơi,"Ntốq, bon","ần tổ, bon",,,,Bru.txt
Nơi dân cư,Ntỡt prơai bau,ần tớt pờ roâi bao,,,,Bru.txt
Nơi đây,Bon nái,bon nay,,,,Bru.txt
Núi,Kóh,cóh,,,,Bru.txt
Núi cao,Kóh sarỡih,cóh sa rỡih,,,,Bru.txt
Núi đồi,Kóh dũal,kóh dũal,,,,Bru.txt
Núi mòn,Kóh raliêi,cóh ra liêi,,,,Bru.txt
Núi non,Kóh king,cóh cìng,,,,Bru.txt
Núi Trường Sơn,Kóh Chíng  Tíng,cóh chìng tìng,,,,Bru.txt
Nuôi,Bán,băn,,,,Bru.txt
Nuôi,Siêm,xiêm,,,,Bru.txt
Nuốt,Lưn,lưn,,,,Bru.txt
Nút,Karsok,căr xo,,,,Bru.txt
Nữ,Mansễm,Măn-xem,,,,Bru.txt
Nửa,Tadĩ,Ta-đii,,,,Bru.txt
Nữa,"En, (Sĩa, nứng)","En(xia, nơng)",,,,Bru.txt
Nữa,Hỡ,hơ,,,,Bru.txt
Nứa,Aho,a ho,,,,Bru.txt
Nước,Dỡq,đợq,,,,Bru.txt
Nước bị ô nhiễm,Dỡq tớt mprơâq,Đợq tớt âm-prâq,,,,Bru.txt
Nước bọt,Karchóh,căr chóh,,,,Bru.txt
Nước chảy xiết,Dỡq hoi kơar,Đợq hoi cơar,,,,Bru.txt
Nước đá,Tamáu prễl,ta mau pa rel,,,,Bru.txt
Nước đá (lạnh),Prễl,pa rel,,,,Bru.txt
Nước đái,"Dỡq ralũm, dỡq klũm","đợq ra lum, đợ ca lum",,,,Bru.txt
Nước đọng,Dờq sandống,Đợ xan-đông,,,,Bru.txt
Nước đọng,Dỡq sadống,đợq xa đôông,,,,Bru.txt
Nước đục,Dỡq takál,Đợq ta-căl,,,,Bru.txt
Nước mắt,Sarlĩang mơat,xa liang mằt,,,,Bru.txt
Nước nôi,Dỡq tứk,đợq tực,,,,Bru.txt
Nước ngoài,Kuruang nuaq,ca roang nào,,,,Bru.txt
Nước sạch,Dờq brảh,Đợq brảh,,,,Bru.txt
Nước sâu,Dờq yarũ,Đợq da-ru,,,,Bru.txt
Nước trong,Dỡq ralơang,Đợq ra-lăng,,,,Bru.txt
Nước uống,Dỡq nguaiq,Đợq ngoạiq,,,,Bru.txt
"Nước, (tổ quốc)",Kuruang,cù roàng,,,,Bru.txt
Nướng,"Bốh, áng","bốh, ăng",,,,Bru.txt
Nứt,Chár,chăr,,,,Bru.txt
Ngà voi,Paluak,pa loác,,,,Bru.txt
Ngạc nhiên,Blak mơat,bờ lác mằt,,,,Bru.txt
Ngạch (nhà),Kambóng,căm bông,,,,Bru.txt
Ngan,Kungan,Cu-ngan,,,,Bru.txt
Ngàn,Ngin,Nghìn,,,,Bru.txt
Ngán,Nứl,nứl,,,,Bru.txt
Ngang (qua),"Klơan, pha","cờ làn, pha",,,,Bru.txt
Ngành nghề,Ranáq tutáq,ra nả tu tả,,,,Bru.txt
Ngáp,Sang-ap,xăng áp,,,,Bru.txt
Ngạt mũi,Kadĩt múh,ca đít múh,,,,Bru.txt
Ngạt thở,Kơat tangứh,cằt ta ngứh,,,,Bru.txt
Ngáy,Sarngũak,xăr ngoác,,,,Bru.txt
Ngày càng,La-ữt tangái,la ứt ta ngay,,,,Bru.txt
Ngày kia,Ngái pra,ngay pa ra,,,,Bru.txt
Ngày kìa,Ngái prái,ngay pa ray,,,,Bru.txt
Ngày lễ,Tangái sang,Ta-ngay xang,,,,Bru.txt
Ngày liệt sỹ,Tangái líng sốt bốn,ta ngay lìng xuất bônh,,,,Bru.txt
Ngày mai,Tangái parnơ,Ta-ngay par-nơ,,,,Bru.txt
"Ngay ngắn,bằng nhau",Li,lỳ,,,,Bru.txt
Ngày nhà giáo VN,Tangái chơot karu ariên V.N,ta ngay chót ca rù a riên V.N,,,,Bru.txt
Ngày quốc tế phụ nữ,Tangái mansễm ta pưq kutễq,tangái mansễm ta pưq kutễq,,,,Bru.txt
Ngày sinh nhật,Tangái plơoh mơat,ta ngay pa losh mằt,,,,Bru.txt
Ngày xưa,Tễ mbắq arái,tê ăm bơaq a ray,,,,Bru.txt
Ngắn,Kakéh,ca kéh,,,,Bru.txt
"Ngăn cản,  Che","Katáng, kapáng","ca tăng, ca păng",,,,Bru.txt
Ngăn cấm,Klơan katáng,Cơ-lăn cà-tăng,,,,Bru.txt
Ngăn ra,Klơan,cờ làn,,,,Bru.txt
Ngắt,"Táiq, káiq","táy, cáy",,,,Bru.txt
Ngâm,Yớr,zêr,,,,Bru.txt
Ngậm lại,"Kubũm, kubĩm","cu bum, cu bim",,,,Bru.txt
Ngân nga,Suônh suônh,xuôn xuôn,,,,Bru.txt
Ngẩn ngơ,Sangớt sangơ,xa ngất xa ngơ,,,,Bru.txt
Ngẩng đầu,Tangơq,ta ngớ,,,,Bru.txt
Ngập,Lứp,lứp,,,,Bru.txt
Ngật ngưỡng,Lêt lơaih,lệt láy,,,,Bru.txt
"Ngất, xỉu",Kuchĩt tuôiq,Cu-chịt tuôiq,,,,Bru.txt
Nghe,Tamứng(sâng),Tà-mừng,,,,Bru.txt
Nghé,Nghễq,nghée,,,,Bru.txt
Nghe lời,Tamứng santoiq,ta mừng xăn tọi,,,,Bru.txt
"Nghe lời, vâng lời",Trĩh santoiq,Trỉ-h xan-tọi-q,,,,Bru.txt
"Nghe, Lắng nghe","Tamứng, sâng","ta mừng, xâng",,,,Bru.txt
Nghẹn,Ỗl,ôl,,,,Bru.txt
Nghèo,Kadĩt,Cà-đit,,,,Bru.txt
Nghèo đói,Panhiêih kadĩt,pa nhiêi ca đit,,,,Bru.txt
Nghèo khó,Ắq kadĩt,ơaq ca đit,,,,Bru.txt
Nghề nghiệp,Ranáq atĩ,Ra-nảq a-ti,,,,Bru.txt
Nghệ nhân,Kũai samĩên,Coal xa-mỉên,,,,Bru.txt
Nghề thủ công,Ranáq thúq kóng,Ra-nảq thủ công,,,,Bru.txt
Nghỉ,Ralu,ra lù,,,,Bru.txt
Nghĩ,Chanchớm,chăn châm,,,,Bru.txt
Nghỉ học,Táh riên,Tảh riên,,,,Bru.txt
Nghị lực,Rêng rangứh,rềng ra ngứh,,,,Bru.txt
Nghi ngờ,Tũn,tuun,,,,Bru.txt
Nghi ngút,La-ũt lavêq,la út la về,,,,Bru.txt
Nghĩa trang,Mpoq ranứp kưmuiq,Âm-pọq ra-nứp cù-mụiq,,,,Bru.txt
Nghĩa vụ,Mpỗil ranáq,ăm pôl ra nả,,,,Bru.txt
Nghịch ngợm,Mán tampring,Măn tam-pơ-rĩng,,,,Bru.txt
Nghiễn răng,Karữơt,ca rướt,,,,Bru.txt
Nghiêng đâu,Pêk plỡ,Pêc pờ-ơ,,,,Bru.txt
Nghiêng ngả,Rarêng kakơan,ra rềng ca cơàn,,,,Bru.txt
Nghoẹo cổ,Pêk takong,pệc ta coong,,,,Bru.txt
Ngõ,Ramăh,mra mơah,,,,Bru.txt
Ngoài,Tiah,tiaah,,,,Bru.txt
Ngoan,Sakún,xa kun,,,,Bru.txt
Ngói,Kek,céc,,,,Bru.txt
Ngòi bút,Sanĩk chìk,Xa-nic chic,,,,Bru.txt
Ngon,Ễm,èm,,,,Bru.txt
Ngọn,"Kỗiq, tuôl","cối, tuôl",,,,Bru.txt
Ngón (tay),Ndễm,ần đèm,,,,Bru.txt
Ngọn lửa,Pla ũih,pờ la úih,,,,Bru.txt
Ngón tay,Ndễm atĩ,ần đem a ti,,,,Bru.txt
Ngón tay cái,Ndễm ngkứm,ần đem ầng cừm,,,,Bru.txt
Ngón trỏ,Ndễm sadoi,ần đem xa đoi,,,,Bru.txt
Ngón út,Ndễm tai,ần đem tai,,,,Bru.txt
Ngọng,"Plắq, ngong","pờ lắp, ngoong",,,,Bru.txt
Ngô,Sapua,Xa-poa,,,,Bru.txt
Ngộ nhận,Tếng lơ,tếng lơ,,,,Bru.txt
Ngồi đúng chỗ,Taku pìêiq raku,Ta-cu pỉêỉq rà-cù,,,,Bru.txt
Ngồi xuống,Taku,Tà-cù,,,,Bru.txt
Ngỗng,Kungỗq,Cu-ngôq,,,,Bru.txt
Ngủ,Bếq,Bể-q,,,,Bru.txt
Ngủ khuya,Bếq saliaq,Bêq xa-lịaq,,,,Bru.txt
Ngủ màn,Beq klống atúq,Bêq cờ-lông a-tủq,,,,Bru.txt
Ngủ như chết,Ralek,ra léc,,,,Bru.txt
Nguội,"Leng, yán","lèng, zăn",,,,Bru.txt
Nguồn gốc,Kơâl kỗk,Kơâl kỗk,,,,Bru.txt
Nguồn tiền lương,rana práq lương,ra na pa rả lương,,,,Bru.txt
Nguy hiểm,Kĩu krơăq,Kiu ca-rọq,,,,Bru.txt
Nguyên,Plot,pờ lot,,,,Bru.txt
Ngứa,Nsoiq,ần xói,,,,Bru.txt
Ngựa,Aséh,a xéh,,,,Bru.txt
Ngửa (mặt),Kulian,cu lian,,,,Bru.txt
Ngửa (nằm),Laliang,la liang,,,,Bru.txt
Ngực,Apơm,a pờm,,,,Bru.txt
Ngửi,"Hớt, hớk",hếth hớc,,,,Bru.txt
Ngược,Lứn,lình,,,,Bru.txt
Ngược xuôi,Atứng atơok,a từng a tôc,,,,Bru.txt
Người,Kũai,Coai,,,,Bru.txt
Người BaNa,Kũai BaNa,Coai BaNa,,,,Bru.txt
Người bệnh,Kũai a-ĩ,Coaì a-ii,,,,Bru.txt
Người Brũ Vân Kiêu,Kuài Brũ Vân Kiêu,Coai Brũ Vân Kiêu,,,,Bru.txt
Người dân,Kũai prơai,Coai prâi,,,,Bru.txt
Người già,Kũai thâu,Coai thâu ( Thâu ke),,,,Bru.txt
Người hướng dẫn,Kũai ayông,coai a zông,,,,Bru.txt
Người Kinh,Kũai Yuan,Coai Duan,,,,Bru.txt
Người lao động,Kũai ranáq,coai ra nả,,,,Bru.txt
Người lớn,Karsai,Car-xai,,,,Bru.txt
Người lớn tuổi,Kũai karsai,coai căr xai,,,,Bru.txt
Người Mường,Kũai Mưong,Coai Mương,,,,Bru.txt
Người Tày,Kũai Tơai,Coai Tày,,,,Bru.txt
Người xấu,Kũai ngêu,coai ngêu,,,,Bru.txt
Người yêu,Sampuôq,xăm púa,,,,Bru.txt
Ngượng,"Kasĩêt, kasĩêt táq","ca xiết, ca xiết tả",,,,Bru.txt
Nhà,Dống,Đông,,,,Bru.txt
Nhà cổ,Dống lêng tiaq,Đông lêng tịaq,,,,Bru.txt
Nhà cửa,Dống sũ,Đông xu,,,,Bru.txt
Nhà chồng,Dống kayak,Đông ca-dac,,,,Bru.txt
Nhà gái,Dống kuya,Đông cu-da,,,,Bru.txt
Nhà nước,Dống kuruang,đôông cu ruang,,,,Bru.txt
Nhà sàn,Dống tâng pỡng,đôông tâng pơng,,,,Bru.txt
Nhà thư viện,Dống doq saráq,đôông đòc xa rả,,,,Bru.txt
Nhà trai,Dống khỡi,Đông khơi,,,,Bru.txt
Nhà vệ sinh,Dong pỡq pỡ sắk,Dông pợq pơ xâc,,,,Bru.txt
Nhà vệ sinh,Dống pỡq pasâk,Dông pợ-q pa-xâc,,,,Bru.txt
Nhạc cụ,Krong amơaih sương,Ca-rơng a-mảih xương,,,,Bru.txt
Nhai,Ngơanh,ngằn,,,,Bru.txt
Nhãn,Kupễh yăh,Kupễh yăh,,,,Bru.txt
Nhanh nhẹn,Paráih parang,Pa-ráy-h pa-rang,,,,Bru.txt
Nhanh nhẹn,"Paráih, práih","paráih, práih",,,,Bru.txt
Nhão,Ladak,lác đác,,,,Bru.txt
Nhạt,Ntiah,ần tia,,,,Bru.txt
Nhát gan,Klak,cờ lác,,,,Bru.txt
Nhảy,Vuat,Vuat,,,,Bru.txt
Nhảy giây,Vuat samữ,Vuat xa-mư,,,,Bru.txt
Nhảy lò cò,Vuat yól yól,Vuat yól yól,,,,Bru.txt
Nháy mắt,"Kuliau, karbéh",ca liau ca béh,,,,Bru.txt
Nhảy múa,Puan sarai,Poan xa-raỉ,,,,Bru.txt
Nhảy qua,"Sandáih,",xăn đáyh,,,,Bru.txt
Nhắc,"Anhák, katơaih",a nhằc ca tái,,,,Bru.txt
Nhắc lại,Pai alứp láh,Pai a-lup lả-h,,,,Bru.txt
"Nhắc lại, vớt",Arắq,a rắp,,,,Bru.txt
Nhắc nhỡ,Anhơak,a nhằc,,,,Bru.txt
Nhắm mắt,Kanhĩt mơat,ca nhít mằt,,,,Bru.txt
Nhẵn,"Li, siêl","lì, xiêil",,,,Bru.txt
Nhăn răng,Kanhánh kanễng,ca nhăn ca nêng,,,,Bru.txt
Nhặng,Ruai rơang,roai rơang,,,,Bru.txt
Nhăt,Tôiq,tồiq,,,,Bru.txt
Nhầm,Klu,cờ lù,,,,Bru.txt
Nhầm lẫn,Raklu,ra cơ lù,,,,Bru.txt
Nhẫn,Sainbễt,Xam-bêt,,,,Bru.txt
Nhấn,Amớt,a mêt,,,,Bru.txt
Nhân lên (phép nhân),Trĩap akữn,triap a cừn,,,,Bru.txt
"Nhận thức, Suy nghĩ",Sarnớm,săr nâm,,,,Bru.txt
Nhận xét,Ruat tatuaiq,roat ta toái,,,,Bru.txt
Nhấp nhô,Dớp dỗih,đấp đôih,,,,Bru.txt
Nhất trí,Parkhán,păr khăn,,,,Bru.txt
Nhé,"Hỡ, nơ","hở, nơ",,,,Bru.txt
Nhẹ,Nghễl,ầng hel,,,,Bru.txt
Nheo mắt,"Kunhễu, kannhĩt","cu nhèo, ca nhít",,,,Bru.txt
Nhét,Nhơat,nhằt,,,,Bru.txt
Nhện,Apiang,a piang,,,,Bru.txt
"Nhiếc, chửi",Báih,báyh,,,,Bru.txt
Nhiều,Sa-ữi,Xa-ưi,,,,Bru.txt
Nhiều quả,Sa-ữi palâi,Xa-ưi pơ-lây,,,,Bru.txt
Nhiều việc,Sa-ữi ắk ranáq,Xà-ưi ắc ra-nảq,,,,Bru.txt
Nhím nhỏ,Sukai,xu cai,,,,Bru.txt
Nhím to,Sukỡih,xa cơih,,,,Bru.txt
Nhìn,"Salĩaq, nhêng","xa lí, nhêng",,,,Bru.txt
Nhỏ,Kakớt,Ca-cật,,,,Bru.txt
Nhỏ bé,Kakớt kakữiq,Cà-cớt cà-cựỉq,,,,Bru.txt
Nhỏ giọt,tayăh,ta dởq,,,,Bru.txt
Nhỏ lại,Ngkớt,ầng cết,,,,Bru.txt
"NHỎ, Bé",Kakớt,ca cết,,,,Bru.txt
Nhọn,Nhôiq,nhội,,,,Bru.txt
Nhot,Král,Cờ-răl,,,,Bru.txt
Nhổ bọt,Kuchóh,cu chóh,,,,Bru.txt
Nhổ lên,"Bók, rứh","bóc, rử",,,,Bru.txt
"Nhốm, đội",Top,Top,,,,Bru.txt
Nhộn nhịp,uôt a-uôt,uột a uột,,,,Bru.txt
Nhộng,Ratuam,ra toàm,,,,Bru.txt
Nhờ,"Kaniq, patúh","kian, patúh",,,,Bru.txt
Nhớ,Sayữ,Xa-dư,,,,Bru.txt
Nhớ lời dặn,Sayừ santoiq patâp,Xa-dư xan-toỉ-q pa-tập,,,,Bru.txt
Nhớ mãi,Ayữ ník,a dư níc,,,,Bru.txt
Nhớ ơn,Sayữ ờn,Ơn ra-nảq,,,,Bru.txt
Nhờ vả,Pơâng,pơâng,,,,Bru.txt
"Nhớ, Thương nhớ","Sayữ, sanhữ","xa dư, xăn dư",,,,Bru.txt
Nhúc nhích,"Bũiq nhiêiq, un ra-iên",búi nhiếi ùn ra iên,,,,Bru.txt
Nhúng,Alốq,a lổ,,,,Bru.txt
Nhuộm,Yớm,dơm,,,,Bru.txt
Như,"In pai, riang pai","in pai, riang pai",,,,Bru.txt
Nhừ,Prúh,pa rúh,,,,Bru.txt
Như thế này,Nneq,ần nèq,,,,Bru.txt
"Như thế, như vậy",Ngkíq,ầng kỉ,,,,Bru.txt
Nhựa,Yang,yang,,,,Bru.txt
Nhức (xương),"Suôr, tangứh","suôr, tangứh",,,,Bru.txt
Nhưng,"Mã, kimắq","mắh, ki mắh",,,,Bru.txt
Những khi,Trỗ léq,trô lẻ,,,,Bru.txt
Ong khoái,Khĩal,khiel,,,,Bru.txt
Ong ruồi,Krot,cờ rọt,,,,Bru.txt
Ong sáp đen,Sitang,xi tiang,,,,Bru.txt
Ong tay áo,Khĩal púm,khiel pùm,,,,Bru.txt
Ong vàng,Ta-ũr,Ta-ũr,,,,Bru.txt
Ong vàng lớn,Ching chuông,Ching chuông,,,,Bru.txt
Ong vò vẽ,"Hong, hễng","hoong, hêng",,,,Bru.txt
Ô,Ru,rù,,,,Bru.txt
Ô ruộng,Kuaq nia,coak nia,,,,Bru.txt
ốc nhồi,Klo ỗk,cơ lo ồc,,,,Bru.txt
ốc xoắn,Klo tuang,cơ lo toàng,,,,Bru.txt
Ôi thiu,Pa-ũih,Pa-uih,,,,Bru.txt
"Ôm nhau, Khoác (tay)",Rakĩau,ra kiau,,,,Bru.txt
ồn,"Sa-ĩr, ngngơâi","xa ir, ngây",,,,Bru.txt
Ồn ào,Ngngơâi ngngia,Ưng-ngâi ưng-nghỉa,,,,Bru.txt
ồn ào,a-uôt,a uôt,,,,Bru.txt
Ổn định,Chứm raku,Chừm ra-cu,,,,Bru.txt
ổn định,Chữm raku,chưm ra cù,,,,Bru.txt
"ổn định, thành công",Pơon,pần,,,,Bru.txt
Ông,Avơoq (Achuaih),A-vỏ (A-choaih),,,,Bru.txt
Ông,Achuaih,a choaih,,,,Bru.txt
ống,Alóq,a lỏ,,,,Bru.txt
Ông bà nội,Achuaih ayơaq oq,a choaih a dã ọ,,,,Bru.txt
ống dẫn,Alóq sapăh,a lỏ xa păh,,,,Bru.txt
ống khám,Sambỗr tamứng,xăm bôr ta mừng,,,,Bru.txt
Ông ngoại,"Achuaih ông, achuaih muq","a choaih ôông,a choaih mụ",,,,Bru.txt
ống sáp,Rapôp,ra pốp,,,,Bru.txt
ống tiêu,"Khlũi, pĩ, tarĩal","Khlũi, pi, tarĩal",,,,Bru.txt
ở,Ỡt,ớt,,,,Bru.txt
ợ,Ntrơq,ần trợ,,,,Bru.txt
ở Đảng,Tơâq Dang,tơa đang,,,,Bru.txt
ở đâu,ỡt bon léq,ơt bon lẻq,,,,Bru.txt
Ở đâu,ỡt nléq,ơt ân-lẻ-q,,,,Bru.txt
"ở đâu, tại đâu",Bon léq,Bon ỉẻ-q,,,,Bru.txt
Ở giữa ngực áo,Mpứng tatia,Ầm-pừng ta-tia,,,,Bru.txt
"ở giữa, tại, đằn lên cho chặt",Katâm,ca tâm,,,,Bru.txt
ở ngoài,Yang tiah,dang tiah,,,,Bru.txt
Ơi,"Ơ, ơi","ờ, ơi",,,,Bru.txt
Ơn,"Ỡn, sa-ỡn","ơn, xa ơn",,,,Bru.txt
ớn,Blớn blớn,bờ lân bờ lân,,,,Bru.txt
ớt,Tĩêu,tiêu,,,,Bru.txt
Pacô,Pakô,Pa-cô,,,,Bru.txt
Phá rừng,Talốh sarứng,Ta-lôh sa-rìmg,,,,Bru.txt
Phai,Tăh,Tăh,,,,Bru.txt
Phải (làm),Kóq,cỏ-q,,,,Bru.txt
Phải (làm),Karâi,ca ray,,,,Bru.txt
Phàm ăn,Cha póq,cha pỏ,,,,Bru.txt
Phao,Tỗt,tốt,,,,Bru.txt
Phát,Tal,Tal,,,,Bru.txt
Phạt,Viaq,Viaq,,,,Bru.txt
Phát huy,Pơăh mpỗl,pah ầm pôl,,,,Bru.txt
Phát quang,Pachơah,pờ chah,,,,Bru.txt
Phát quang bụi rậm,Taq aiq rabũ sarưp,Taỉ aiq ra-bu xa-rưp,,,,Bru.txt
Phát rẫy,"Tal, tutal","Tal, tutal",,,,Bru.txt
Phát triển,Liêi,liêi,,,,Bru.txt
Phát triển,Liêi sanốk,liêi xa nốc,,,,Bru.txt
Phát triển,Liêi put,Liei put,,,,Bru.txt
Phân,Phôn mantán,phôôn,,,,Bru.txt
Phần,Pún,pùn,,,,Bru.txt
Phân bón,Phon,Phùn,,,,Bru.txt
Phân chuồng,Phôn mantán,Phùn măn-tăn,,,,Bru.txt
Phấn khởi,Lứq hỡr,lử hỡr,,,,Bru.txt
Phần thưởng,Kroưg chưng aiữ,Cơ-rơng chưng aỉư,,,,Bru.txt
